Sentiment,Trade_Count,Avg_Size,Long_Bias_Pct
Fear,133871,5259.977836723413,0.49361698948988203
Greed,43251,3581.6615130286004,0.434487063882916
Neutral,7141,3058.8481095084726,0.4908276151799468
